Tagged
"aimhleasach<Aq-s>, , aimhleasaiche<Apc>, , , , aimhleasach<Aq-p>, , aimhleasaich<Aq-smg>, , aimhleasaiche<Aq-sfg>, , aimhleasaich<Aq-sfd>, , , "
"aimhleathan<Aq-s>, aithleathann<Aq-s>, , aimhleathaine<Apc>, aimhleathna<Apc>, aithleathainne<Apc>, , , , aimhleathan<Aq-p>, aithleathann<Aq-p>, , aimhleathain<Aq-smg>, aithleathainn<Aq-smg>, , aimhleathaine<Aq-sfg>, aithleathainne<Aq-sfg>, , aimhleathain<Aq-sfd>, aithleathainn<Aq-sfd>, , , "
"aimhreiteach<Aq-s>, , aimhreitiche<Apc>, , , , aimhreiteach<Aq-p>, , aimhreitich<Aq-smg>, , aimhreitiche<Aq-sfg>, , aimhreitich<Aq-sfd>, , , "
"aimhriaghailteach<Aq-s>, , aimhriaghailtiche<Apc>, , , , aimhriaghailteach<Aq-p>, , aimhriaghailtich<Aq-smg>, , aimhriaghailtiche<Aq-sfg>, , aimhriaghailtich<Aq-sfd>, , , "
"aimlisgeach<Aq-s>, , aimlisgiche<Apc>, , , , aimlisgeach<Aq-p>, , aimlisgich<Aq-smg>, , aimlisgiche<Aq-sfg>, , aimlisgich<Aq-sfd>, , , "
"aimniotach<Aq-s>, , aimniotaiche<Apc>, , , , aimniotach<Aq-p>, , aimniotaich<Aq-smg>, , aimniotaiche<Aq-sfg>, , aimniotaich<Aq-sfd>, , , "
"aimrid<Aq-s>, , aimride<Apc>, , , , aimrid<Aq-p>, , aimrid<Aq-smg>, , aimride<Aq-sfg>, , aimrid<Aq-sfd>, , , "
"aimsichte<Aq-s>, , aimsichte<Apc>, , , , aimsichte<Aq-p>, , aimsichte<Aq-smg>, , aimsichte<Aq-sfg>, , aimsichte<Aq-sfd>, , , "
"aimsireil<Aq-s>, , aimsireile<Apc>, , , , aimsireil<Aq-p>, , aimsireil<Aq-smg>, , aimsireile<Aq-sfg>, , aimsireil<Aq-sfd>, , , "
"ain-cheartach<Aq-s>, an-cheartach<Aq-s>, , ain-cheartaiche<Apc>, an-cheartaiche<Apc>, , , , ain-cheartach<Aq-p>, an-cheartach<Aq-p>, , ain-cheartaich<Aq-smg>, an-cheartaich<Aq-smg>, , ain-cheartaiche<Aq-sfg>, an-cheartaiche<Aq-sfg>, , ain-cheartaich<Aq-sfd>, an-cheartaich<Aq-sfd>, , , "
"ain-Chrìostail<Aq-s>, ain-Chrìosdail<Aq-s>, , ain-Chrìostaile<Apc>, ain-Chrìosdaile<Apc>, , , , ain-Chrìostail<Aq-p>, ain-Chrìosdail<Aq-p>, , ain-Chrìostail<Aq-smg>, ain-Chrìosdail<Aq-smg>, , ain-Chrìostaile<Aq-sfg>, ain-Chrìosdaile<Aq-sfg>, , ain-Chrìostail<Aq-sfd>, ain-Chrìosdail<Aq-sfd>, , , "
